series_id,game_id,sequence_number,map_name,team,player_id,player_name,agent,kills,deaths,assists,first_kill,money,loadout_value,net_worth,position_x,position_y
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,NRG,312,skuba,viper,8,8,4,False,2700,4600,7300,-1044.41174,-1742.06372
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,NRG,2513,brawk,sova,18,7,4,False,1950,5850,7800,-955.326721,-3522.12646
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,NRG,297,Ethan,kay/o,13,9,8,True,3000,4050,7050,-1311.94812,-1648.0144
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,NRG,2340,s0m,omen,7,6,12,False,1100,5050,6150,-1914.828,-1860.12292
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,2,corrode,NRG,2358,mada,waylay,21,5,4,False,700,4400,5100,-1887.55542,-1778.11523
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,Cloud9,10612,v1c,omen,20,16,6,False,200,500,700,5693.89551,-3012.77734
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,Cloud9,10636,OXY,raze,22,19,4,False,50,1200,1250,5086.2334,-4841.31104
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,Cloud9,1195,mitch,fade,11,18,7,False,50,1200,1250,8630.81641,3730.19214
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,Cloud9,1193,Xeppaa,vyse,13,19,4,False,50,300,350,5440.78809,-5428.34229
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,Cloud9,2348,neT,viper,7,20,6,False,0,1300,1300,6489.60889,-2371.92505
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,NRG,312,skuba,viper,11,16,11,False,6900,4400,11300,6700.34814,125.261757
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,NRG,2513,brawk,vyse,21,12,9,True,5750,1450,7200,5551.11475,-5418.021
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,NRG,297,Ethan,fade,23,16,8,False,3900,1450,5350,2693.354,2580.42725
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,NRG,2340,s0m,omen,17,13,16,False,7800,5400,13200,5364.32275,-4450.59473
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,3,lotus,NRG,2358,mada,raze,19,16,5,False,5300,1500,6800,6779.76855,3854.39551
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,NRG,312,skuba,vyse,9,7,4,False,150,0,150,-1957.75415,-6757.9
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,NRG,2513,brawk,sova,16,7,5,False,400,1350,1750,-807.06012,-6875.35938
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,NRG,297,Ethan,kay/o,13,7,5,False,50,3900,3950,-1534.21973,-6856.62158
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,NRG,2340,s0m,omen,15,8,1,False,1950,400,2350,-1144.34241,-6893.90332
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,NRG,2358,mada,jett,14,7,1,False,2000,1150,3150,-1789.66345,-7548.82373
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,Leviatán Esports,10621,okeanos,omen,12,13,4,False,200,2100,2300,-1709.64233,-8455.12305
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,Leviatán Esports,2343,tex,chamber,7,13,0,False,0,900,900,-589.252075,-8082.99463
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,Leviatán Esports,207,kiNgg,vyse,3,13,3,False,50,1000,1050,-2768.10986,-6787.68945
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,Leviatán Esports,2515,C0M,sova,5,14,5,False,0,550,550,-2159.48901,-7042.63525
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,1,ascent,Leviatán Esports,14826,Sato,yoru,9,14,2,True,50,600,650,-1920.39246,-8604.89453
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,NRG,312,skuba,viper,13,11,7,True,700,1600,2300,1242.76416,-399.141327
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,NRG,2513,brawk,sova,17,6,9,False,1050,6000,7050,1738.7467,-182.981842
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,NRG,297,Ethan,harbor,14,5,11,False,3200,4250,7450,18.8719521,2173.72925
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,NRG,2340,s0m,killjoy,14,8,3,False,2300,5200,7500,1073.41992,-4.3025136
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,NRG,2358,mada,jett,15,6,0,False,2450,2350,4800,1052.84692,-922.482361
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,Leviatán Esports,10621,okeanos,harbor,8,15,3,False,50,800,850,1621.95752,2866.22534
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,Leviatán Esports,2343,tex,killjoy,5,15,2,False,200,1600,1800,-6147.28467,1108.62354
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,Leviatán Esports,207,kiNgg,viper,8,14,1,False,100,1300,1400,1367.97424,264.975677
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,Leviatán Esports,2515,C0M,sova,8,14,1,False,0,150,150,2193.65186,2573.59131
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,2,icebox,Leviatán Esports,14826,Sato,jett,7,15,1,False,0,800,800,1726.14783,2404.6582
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,G2 Esports,2347,JAWGEMO,waylay,18,18,4,False,1900,1300,3200,3836.46191,-3727.87744
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,G2 Esports,2353,trent,fade,8,17,6,False,300,1300,1600,3363.89893,-3456.67822
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,G2 Esports,2349,valyn,omen,22,20,6,True,2150,1150,3300,3123.39062,-2971.52271
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,G2 Esports,2351,JonahP,sage,12,15,12,False,1600,1000,2600,3742.54419,-4055.28955
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,G2 Esports,709,BABYBAY,viper,16,12,4,False,800,2000,2800,4613.04883,-1995.51074
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,NRG,312,skuba,viper,19,15,12,False,3050,1300,4350,3522.73657,-2032.25195
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,NRG,2513,brawk,sova,10,15,2,False,3450,1300,4750,4610.48242,-2285.26343
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,NRG,297,Ethan,kay/o,14,17,16,False,5150,850,6000,4943.70947,-3133.38428
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,NRG,2340,s0m,omen,22,13,5,False,400,1450,1850,3916.29785,-2976.7688
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,1,corrode,NRG,2358,mada,waylay,17,16,1,False,3550,1300,4850,4038.08862,-3007.29297
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,G2 Esports,2347,JAWGEMO,neon,16,19,4,False,1350,5200,6550,1052.44385,-349.48941
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,G2 Esports,2353,trent,fade,10,18,2,False,600,5200,5800,1556.71362,-3.97761297
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,G2 Esports,2349,valyn,omen,17,15,12,False,1500,5200,6700,1131.99402,-3662.27246
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,G2 Esports,2351,JonahP,sage,19,13,8,False,2350,5200,7550,697.394287,-5042.04053
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,G2 Esports,709,BABYBAY,chamber,23,18,5,True,1550,2100,3650,1204.19958,-3157.99316
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,NRG,312,skuba,cypher,10,17,8,False,1700,1300,3000,-1180.82971,-294.714417
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,NRG,2513,brawk,sova,10,17,8,False,500,150,650,950.37,-1851.74902
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,NRG,297,Ethan,breach,15,15,10,False,2000,1000,3000,954.339661,-1722.43677
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,NRG,2340,s0m,omen,22,18,8,False,1600,1700,3300,2282.18164,-483.329163
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,2,sunset,NRG,2358,mada,neon,26,18,5,False,250,1300,1550,328.721161,-681.668884
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,G2 Esports,2347,JAWGEMO,yoru,14,12,3,False,2000,3050,5050,7710.39307,4560.64746
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,G2 Esports,2353,trent,tejo,14,11,8,False,2900,3950,6850,6707.0332,-1032.25488
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,G2 Esports,2349,valyn,brimstone,20,13,6,True,2000,3700,5700,7418.37,1263.64697
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,G2 Esports,2351,JonahP,fade,19,12,6,False,1750,3700,5450,9330.00293,4031.40088
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,G2 Esports,709,BABYBAY,deadlock,12,10,2,False,2100,3700,5800,9181.02344,2887.15308
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,NRG,312,skuba,viper,12,16,3,False,250,300,550,6142.00244,-1339.07959
2843063,43789a39-4eba-4d31-80c5-633bcb949841,3,bind,NRG,2513,brawk,fade,7,16,4,False,50,850,900,9615.19141,3183.24683
